"Median Household Income by Massachusetts Town, 1979-2015",,,,,,,,
,,,,,,,,
Sources:,1980 Census Summary Tape File 3 (STF3),,,,,,,
,1990 Census Summary Tape File 3 (STF3),,,,,,,
,2000 Census Summary File 3 (SF3),,,,,,,
,2010 American Community Survey (ACS) 5-Year Summary File,,,,,,,
,2015 American Community Survey (ACS) 5-Year Summary File,,,,,,,
,,,,,,,,
Notes:,"Household income from the 1980-2000 decennial Census refers to income the previous year (1979, 1989 and 1999). Household income from the American Community Survey refers to income earned during the 12 months prior to completing the questionnaire.",,,,,,,
,,,,,,,,
,,,,,,,,
,"Incomes were adjusted for inflation using the annual average consumer price index for all urban consumers compiled by the U.S. Department of Labor, Bureau of Labor Statistics: 1979=72.6, 1989=124.0, 1999=166.6, 2010=218.1 and 2015=237.0, where the 1982-84 average=100.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,Median Income (adjusted to 2015 Dollars),,,,
Town#,Town,,,1979,1989,1999,2006-10,2011-15
1,Abington,,,"$64,121 ","$81,669 ","$81,229 ","$81,053 ","$80,148 "
2,Acton,,,"$89,195 ","$117,342 ","$130,341 ","$114,667 ","$125,635 "
3,Acushnet,,,"$54,987 ","$68,298 ","$73,262 ","$67,869 ","$67,421 "
4,Adams,,,"$45,072 ","$47,897 ","$45,751 ","$41,662 ","$45,893 "
5,Agawam,,,"$63,288 ","$71,217 ","$70,261 ","$68,094 ","$61,494 "
6,Alford,,,"$58,659 ","$74,661 ","$70,605 ","$89,649 ","$95,313 "
7,Amesbury,,,"$52,538 ","$72,417 ","$73,840 ","$81,465 ","$76,558 "
8,Amherst,,,"$46,842 ","$51,169 ","$56,927 ","$54,401 ","$48,059 "
9,Andover,,,"$88,976 ","$116,723 ","$124,735 ","$120,621 ","$129,082 "
10,Arlington,,,"$67,241 ","$82,776 ","$91,534 ","$89,944 ","$93,787 "
11,Ashburnham,,,"$64,620 ","$81,119 ","$79,049 ","$86,933 ","$87,615 "
12,Ashby,,,"$64,440 ","$88,397 ","$86,777 ","$87,088 ","$82,019 "
13,Ashfield,,,"$53,221 ","$63,784 ","$75,218 ","$68,935 ","$71,364 "
14,Ashland,,,"$76,757 ","$97,806 ","$97,292 ","$101,031 ","$102,911 "
15,Athol,,,"$48,967 ","$51,786 ","$47,620 ","$51,180 ","$47,598 "
16,Attleboro,,,"$58,013 ","$70,012 ","$72,276 ","$70,235 ","$67,736 "
17,Auburn,,,"$66,840 ","$76,285 ","$73,622 ","$77,560 ","$72,432 "
18,Avon,,,"$66,579 ","$82,595 ","$71,562 ","$73,146 ","$76,065 "
19,Ayer,,,"$49,039 ","$56,051 ","$66,319 ","$60,704 ","$74,659 "
